event_id,title,city,city_slug,icao,lat,lon,unit,timezone,target_date,resolved_temp,bucket_label
81520,Highest temperature in NYC on November 18?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-18,46.0,46-47
80674,Highest temperature in NYC on November 15?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-15,50.0,50-51
79798,Highest temperature in NYC on November 14?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-14,51.0,51-52
78949,Highest temperature in NYC on November 13?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-13,51.0,51-52
77682,Highest temperature in NYC on November 12?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-12,49.0,49-50
75473,Highest temperature in NYC on November 11?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-11,42.0,42-43
75471,Highest temperature in NYC on November 10?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-10,57.0,57+
75469,Highest temperature in NYC on November 9?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-09,64.0,64-65
74644,Highest temperature in NYC on November 8?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-08,65.0,65-66
73847,Highest temperature in NYC on November 7?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-07,59.0,59-60
72863,Highest temperature in NYC on November 6?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-06,54.0,54-55
71589,Highest temperature in NYC on November 5?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-05,66.0,66-67
69741,Highest temperature in NYC on November 3?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-03,58.0,58-59
69744,Highest temperature in NYC on November 4?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-04,59.0,59-60
69736,Highest temperature in NYC on November 2?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-02,60.0,60-61
68994,Highest temperature in NYC on November 1?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-11-01,58.0,58-59
67742,Highest temperature in NYC on October 31?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-10-31,59.0,59-60
67061,Highest temperature in NYC on October 30?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-10-30,65.0,65+
66358,Highest temperature in NYC on October 29?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-10-29,54.0,54-55
